Months	1: Housing Prices	2: Housing Prices	3: Housing Prices	4: Housing Prices	5: Housing Prices	6: Housing Prices	7: Housing Prices	8: Housing Prices	9: Housing Prices	10: Housing Prices
0	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
6	11.96	11.96	11.96	11.96	11.96	11.96	11.96	11.95	11.95	11.95
12	47.27	47.27	47.27	47.27	47.27	47.27	47.26	47.26	47.26	47.26
18	104.49	104.49	104.49	104.49	104.49	104.49	104.49	104.49	104.49	104.48
24	181.47	181.47	181.47	181.47	181.47	181.47	181.46	181.46	181.46	181.46
30	279.69	279.69	279.69	279.69	279.69	279.69	279.69	279.69	279.69	279.68
36	400.45	400.45	400.45	400.45	400.45	400.45	400.44	400.44	400.44	400.44
42	510.49	510.49	510.49	510.49	510.49	510.49	510.49	510.49	510.48	510.48
48	580.36	580.36	580.36	580.36	580.36	580.36	580.36	580.36	580.36	580.36
54	635.66	635.66	635.66	635.66	635.66	635.66	635.65	635.65	635.65	635.65
60	699.10	699.10	699.10	699.10	699.10	699.10	699.10	699.10	699.10	699.10
66	765.19	765.19	765.19	765.19	765.19	765.19	765.19	765.19	765.19	765.19
72	829.03	829.03	829.03	829.03	829.03	829.03	829.03	829.03	829.03	829.03
78	892.14	892.14	892.14	892.14	892.14	892.14	892.13	892.13	892.13	892.13
84	955.83	955.83	955.83	955.83	955.83	955.83	955.83	955.83	955.83	955.83
90	1,026.62	1,026.62	1,026.62	1,026.62	1,026.62	1,026.62	1,026.62	1,026.62	1,026.62	1,026.62
96	1,110.25	1,110.25	1,110.25	1,110.25	1,110.25	1,110.25	1,110.25	1,110.25	1,110.25	1,110.25
102	1,188.73	1,188.73	1,188.73	1,188.73	1,188.73	1,188.73	1,188.73	1,188.73	1,188.73	1,188.73
108	1,246.12	1,246.12	1,246.12	1,246.12	1,246.12	1,246.11	1,246.11	1,246.11	1,246.11	1,246.11
114	1,282.61	1,282.61	1,282.61	1,282.61	1,282.61	1,282.61	1,282.61	1,282.61	1,282.61	1,282.61
120	1,298.46	1,298.46	1,298.46	1,298.46	1,298.46	1,298.46	1,298.46	1,298.46	1,298.46	1,298.46
126	1,320.06	1,320.06	1,320.06	1,320.06	1,320.06	1,320.06	1,320.06	1,320.06	1,294.72	1,013.61
132	1,370.78	1,370.78	1,370.78	1,370.78	1,370.78	1,370.78	1,370.78	1,347.97	960.99	358.15
138	1,438.66	1,438.66	1,438.66	1,438.66	1,438.66	1,438.66	1,438.66	1,127.10	447.06	-206.02
144	1,513.03	1,513.03	1,513.03	1,513.03	1,513.03	1,513.03	1,417.53	732.41	67.13	-349.31
150	1,597.41	1,597.41	1,597.41	1,597.41	1,597.41	1,597.41	1,176.72	421.93	60.49	-117.34
156	1,694.90	1,694.90	1,694.90	1,694.90	1,694.90	1,687.83	923.83	434.42	290.12	127.73
162	1,793.89	1,793.89	1,793.89	1,793.89	1,793.89	1,653.27	846.15	641.85	510.01	361.60
168	1,884.06	1,884.06	1,884.06	1,884.06	1,884.06	1,449.29	955.57	831.19	710.69	575.06
174	1,965.90	1,965.90	1,965.90	1,965.90	1,965.54	1,153.24	1,117.32	1,003.64	893.52	769.56
180	2,039.84	2,039.84	2,039.84	2,039.84	1,849.60	884.77	1,263.38	1,160.40	1,059.76	946.47
186	2,099.12	2,099.12	2,099.12	2,099.12	1,406.95	723.63	1,281.22	1,295.38	1,203.40	1,099.86
192	2,137.81	2,137.81	2,137.81	1,976.62	761.50	635.67	1,020.47	1,368.82	1,319.18	1,224.55
198	2,166.56	2,166.56	2,166.56	1,341.02	155.62	569.55	526.15	1,036.74	1,320.61	1,331.90
204	2,194.85	2,194.85	1,936.31	493.58	-127.47	532.63	28.93	370.48	817.77	1,199.15
210	2,226.20	2,226.20	1,247.56	-130.92	13.68	536.39	-226.74	-291.65	18.05	505.08
216	2,263.75	2,086.30	489.39	-197.20	241.65	598.14	-105.19	-596.71	-648.66	-377.34
222	2,316.86	1,575.82	108.63	67.57	468.80	737.99	151.82	-396.94	-800.12	-948.57
228	2,393.80	1,093.70	308.06	338.11	704.80	950.66	415.10	-86.42	-469.31	-824.34
234	2,483.20	1,003.68	576.98	604.44	939.58	1,164.28	674.81	216.45	-133.48	-457.96
Final	2,526.45	1,218.42	832.80	857.89	1,164.18	1,369.54	922.20	503.30	183.48	-113.06
